CSR_ID,Date,Class
1430,30,O
CSCALYSSA,8,O
CSCALYSSA,19,O
CSCALYSSA,22,O
CSCALYSSA,23,O
CSCCLAIRET,8,O
CSCCLAIRET,9,O
CSCCLAIRET,17,O
2009,18,O
2009,30,O
CSCELLEN,22,O
CSCFANNY,23,O
CSCFANNY,30,O
266,18,O
266,29,O
266,30,O
1871,11,O
1871,30,O
1871,30,O
2291,30,O
2163,12,O
CSCJESSIE,30,O
1435,8,O
1435,9,O
1435,10,O
1435,11,O
1435,12,O
1808,29,O
1808,30,O
CSCNICOLE,17,O
CSCNICOLE,30,O
1424,26,O
CSCSABINA,18,O
CSCSABINA,30,O
2590,10,O
2590,30,O
CSCSAM,12,O
CSCSAM,30,O
2008,23,O
TM0574,11,O
TM0574,30,O
1730,30,O
1730,29,O
1730,30,O
CSCVIVIAN,8,O
