,4,5,6,7,8,11,12,13,14,15,18,19,20,21,22,25,26,27,28,29
9,36,33,32,29,27,36,33,32,29,27,36,33,32,29,27,36,33,32,29,27
9.5,34,31,27,26,23,34,31,27,26,23,34,31,27,26,23,34,31,27,26,23
10,36,30,30,28,24,36,30,30,28,24,36,30,30,28,24,36,30,30,28,24
10.5,35,28,32,26,27,35,28,32,26,27,35,28,32,26,27,35,28,32,26,27
11,38,25,29,28,29,38,25,29,28,29,38,25,29,28,29,38,25,29,28,29
11.5,36,24,26,23,27,36,24,26,23,27,36,24,26,23,27,36,24,26,23,27
12,23,22,20,19,17,23,22,20,19,17,23,22,20,19,17,23,22,20,19,17
12.5,22,18,14,16,14,22,18,14,16,14,22,18,14,16,14,22,18,14,16,14
13,23,19,21,18,20,23,19,21,18,20,23,19,21,18,20,23,19,21,18,20
13.5,34,25,26,28,23,34,25,26,28,23,34,25,26,28,23,34,25,26,28,23
14,39,31,29,25,27,39,31,29,25,27,39,31,29,25,27,39,31,29,25,27
14.5,36,26,29,22,25,36,26,29,22,25,36,26,29,22,25,36,26,29,22,25
15,26,28,25,28,23,26,28,25,28,23,26,28,25,28,23,26,28,25,28,23
15.5,30,27,26,22,25,30,27,26,22,25,30,27,26,22,25,30,27,26,22,25
16,32,28,26,20,23,32,28,26,20,23,32,28,26,20,23,32,28,26,20,23
16.5,27,28,23,25,22,27,28,23,25,22,27,28,23,25,22,27,28,23,25,22
17,23,21,22,18,16,23,21,22,18,16,23,21,22,18,16,23,21,22,18,16
17.5,21,16,16,14,15,21,16,16,14,15,21,16,16,14,15,21,16,16,14,15
18,14,14,14,12,11,14,14,14,12,11,14,14,14,12,11,14,14,14,12,11
18.5,14,13,9,12,10,14,13,9,12,10,14,13,9,12,10,14,13,9,12,10
19,12,14,14,11,9,12,14,14,11,9,12,14,14,11,9,12,14,14,11,9
19.5,15,14,13,9,10,15,14,13,9,10,15,14,13,9,10,15,14,13,9,10
20,12,14,11,11,10,12,14,11,11,10,12,14,11,11,10,12,14,11,11,10
20.5,11,11,10,7,10,11,11,10,7,10,11,11,10,7,10,11,11,10,7,10
