CSR_ID,Date,Class
CSCJESSIE,1,O
CSCVIVIAN,1,O
1428,1,MS
1730,1,O
2543,1,O
1808,6,O
1808,7,O
1808,8,O
1808,9,O
1808,10,O
1426,7,MS
CSCYVETTE,8,O
2009,9,O
1430,10,O
2544,10,O
2291,10,O
CSCCLAIRET,13,O
266,14,O
CSCVIVIAN,13,O
CSCVIVIAN,14,O
CSCFANNY,15,O
2008,15,MS
CSCALYSSA,15,O
CSCFANNY,16,O
2590,16,O
2491,16,O
TM0592,17,O
2511,17,O
CSCNICOLE,17,O
CSCSABINA,17,O
1849,20,O
1424,20,O
2544,21,O
CSCELLEN,22,O
1808,22,O
CSCJESSIE,22,MS
CSCELLEN,23,O
CSCSABINA,23,O
CSCALYSSA,23,MS
1849,24,O
CSCELLEN,24,O
2163,24,MS
1805,24,O
CSCVIVIAN,24,O
CSCVIVIAN,27,O
CSCVIVIAN,28,O
CSCVIVIAN,29,O
CSCVIVIAN,30,O
CSCELLEN,27,O
CSCELLEN,28,O
CSCELLEN,29,O
CSCELLEN,30,O
CSCNICOLE,29,O
1428,30,O
CSCCLAIRET,30,O
CSCVIVIAN,8,N1
CSCVIVIAN,13,N1
CSCVIVIAN,23,N1
CSCCLAIRET,8,N1
CSCCLAIRET,16,N1
CSCCLAIRET,22,N1
