CSR_ID,Dates,Classes,Limit
1430,Wed,night,2
CSCALYSSA,Wed,night,2
1849,Wed,night,2
CSCCLAIRET,Wed,night,2
2009,Wed,night,2
TM0625,Wed,night,2
CSCELLEN,Wed,night,2
CSCFANNY,Wed,night,2
2543,Wed,night,2
2511,Wed,night,2
266,Wed,night,2
TM0627,Wed,night,2
TM0622,Wed,night,2
2291,Wed,night,2
2163,Wed,night,2
1426,Wed,night,2
CSCJESSIE,Wed,night,2
1805,Wed,night,2
1428,Wed,night,2
1435,Wed,night,2
TM0602,Wed,night,2
1808,Wed,night,2
CSCNICOLE,Wed,night,2
2544,Wed,night,2
1424,Wed,night,2
2673,Wed,night,2
TM0617,Wed,night,2
CSCSABINA,Wed,night,2
2590,Wed,night,2
CSCSAM,Wed,night,2
2008,Wed,night,2
1730,Wed,night,2
TM0626,Wed,night,2
2491,Wed,night,2
CSCVIVIAN,Wed,night,2
TM0611,Wed,night,2
CSCYVETTE,Wed,night,2
TM0592,Wed,night,2
TM0581,Wed,night,2
TM0577,Wed,night,2
TM0589,Wed,night,2
TM0580,Wed,night,2
