,1,2,3,8,9,10,11,12,15,16,17,18,19,22,23,24,25,26,29,30
9,41,29,30,41,29,30,24,25,41,29,30,24,25,41,29,30,24,25,41,29
9.5,34,28,25,34,28,25,25,21,34,28,25,25,21,34,28,25,25,21,34,28
10,36,30,28,36,30,28,24,28,36,30,28,24,28,36,30,28,24,28,36,30
10.5,34,32,29,34,32,29,25,26,34,32,29,25,26,34,32,29,25,26,34,32
11,34,27,32,34,27,32,28,23,34,27,32,28,23,34,27,32,28,23,34,27
11.5,34,26,27,34,26,27,24,28,34,26,27,24,28,34,26,27,24,28,34,26
12,24,17,19,24,17,19,17,17,24,17,19,17,17,24,17,19,17,17,24,17
12.5,19,20,16,19,20,16,17,15,19,20,16,17,15,19,20,16,17,15,19,20
13,24,20,20,24,20,20,16,18,24,20,20,16,18,24,20,20,16,18,24,20
13.5,33,25,24,33,25,24,22,24,33,25,24,22,24,33,25,24,22,24,33,25
14,30,28,28,30,28,28,25,24,30,28,28,25,24,30,28,28,25,24,30,28
14.5,33,28,30,33,28,30,24,25,33,28,30,24,25,33,28,30,24,25,33,28
15,30,25,26,30,25,26,23,23,30,25,26,23,23,30,25,26,23,23,30,25
15.5,26,29,26,26,29,26,24,25,26,29,26,24,25,26,29,26,24,25,26,29
16,28,24,24,28,24,24,20,24,28,24,24,20,24,28,24,24,20,24,28,24
16.5,28,24,22,28,24,22,22,18,28,24,22,22,18,28,24,22,22,18,28,24
17,23,16,21,23,16,21,18,20,23,16,21,18,20,23,16,21,18,20,23,16
17.5,16,16,18,16,16,18,15,14,16,16,18,15,14,16,16,18,15,14,16,16
18,14,12,12,14,12,12,13,9,14,12,12,13,9,14,12,12,13,9,14,12
18.5,11,12,8,11,12,8,10,9,11,12,8,10,9,11,12,8,10,9,11,12
19,11,13,9,11,13,9,11,9,11,13,9,11,9,11,13,9,11,9,11,13
19.5,12,12,11,12,12,11,10,7,12,12,11,10,7,12,12,11,10,7,12,12
20,13,12,10,13,12,10,10,8,13,12,10,10,8,13,12,10,10,8,13,12
20.5,12,10,9,12,10,9,8,8,12,10,9,8,8,12,10,9,8,8,12,10
