CSR_ID,Date,Class
CSCALYSSA,10,O
CSCALYSSA,19,O
CSCALYSSA,21,O
1849,12,O
1849,17,O
CSCCLAIRET,28,O
2009,26,O
CSCELLEN,11,O
2543,3,O
2543,20,O
2543,21,O
2543,24,O
2543,25,O
266,3,O
266,4,O
266,5,O
266,6,O
266,10,O
266,24,O
2163,21,O
CSCJESSIE,18,O
1805,27,O
1805,28,O
1435,10,O
TM0602,26,O
TM0602,27,O
TM0602,28,O
1808,19,O
CSCNICOLE,14,O
2544,4,O
1424,20,O
2673,6,O
CSCSABINA,11,O
CSCSABINA,19,O
2590,18,O
CSCSAM,3,O
2008,17,O
1730,17,O
1730,20,O
CSCVIVIAN,6,O
CSCVIVIAN,10,O
CSCVIVIAN,26,O
CSCYVETTE,12,O
CSCYVETTE,18,O
CSCYVETTE,28,O
