name,2019-03-01 (五),2019-03-02 (六),2019-03-03 (日),2019-03-04 (一),2019-03-05 (二),2019-03-06 (三),2019-03-07 (四),2019-03-08 (五),2019-03-09 (六),2019-03-10 (日),2019-03-11 (一),2019-03-12 (二),2019-03-13 (三),2019-03-14 (四),2019-03-15 (五),2019-03-16 (六),2019-03-17 (日),2019-03-18 (一),2019-03-19 (二),2019-03-20 (三),2019-03-21 (四),2019-03-22 (五),2019-03-23 (六),2019-03-24 (日),2019-03-25 (一),2019-03-26 (二),2019-03-27 (三),2019-03-28 (四),2019-03-29 (五),2019-03-30 (六),2019-03-31 (日)
09:00,X,X,X,-6.0,-1.0,0.0,0.0,2.0,X,X,-4.0,-2.0,0.0,0.0,2.0,X,X,-3.0,-2.0,0.0,0.0,2.0,X,X,-5.0,-3.0,0.0,0.0,2.0,X,X
09:30,X,X,X,-4.0,1.0,5.0,3.0,6.0,X,X,-2.0,0.0,5.0,3.0,6.0,X,X,-1.0,0.0,5.0,3.0,6.0,X,X,-3.0,-1.0,5.0,3.0,6.0,X,X
10:00,X,X,X,-6.0,2.0,2.0,1.0,5.0,X,X,-4.0,1.0,2.0,1.0,5.0,X,X,-3.0,1.0,2.0,1.0,5.0,X,X,-5.0,0.0,2.0,1.0,5.0,X,X
10:30,X,X,X,-5.0,4.0,0.0,3.0,2.0,X,X,-3.0,3.0,0.0,3.0,2.0,X,X,-2.0,3.0,0.0,3.0,2.0,X,X,-4.0,2.0,0.0,3.0,2.0,X,X
11:00,X,X,X,-8.0,7.0,3.0,1.0,0.0,X,X,-6.0,6.0,3.0,1.0,0.0,X,X,-5.0,6.0,3.0,1.0,0.0,X,X,-7.0,5.0,3.0,1.0,0.0,X,X
11:30,X,X,X,-18.0,-5.0,-4.0,-3.0,-6.0,X,X,-16.0,-5.0,-3.0,-2.0,-6.0,X,X,-15.0,-6.0,-4.0,0.0,-5.0,X,X,-17.0,-7.0,-4.0,-2.0,-6.0,X,X
12:00,X,X,X,-10.0,-5.0,-3.0,-1.0,-1.0,X,X,-8.0,-7.0,-2.0,0.0,-1.0,X,X,-6.0,-9.0,-4.0,0.0,0.0,X,X,-10.0,-7.0,-3.0,0.0,0.0,X,X
12:30,X,X,X,-4.0,2.0,2.0,0.0,3.0,X,X,-5.0,0.0,3.0,0.0,3.0,X,X,-5.0,1.0,3.0,1.0,4.0,X,X,-5.0,0.0,4.0,0.0,3.0,X,X
13:00,X,X,X,-3.0,0.0,-3.0,0.0,-1.0,X,X,-3.0,0.0,-2.0,0.0,-1.0,X,X,-3.0,0.0,0.0,0.0,0.0,X,X,-2.0,-1.0,0.0,0.0,-1.0,X,X
13:30,X,X,X,-10.0,0.0,0.0,-2.0,1.0,X,X,-7.0,0.0,0.0,-1.0,1.0,X,X,-6.0,0.0,1.0,0.0,1.0,X,X,-8.0,0.0,0.0,-1.0,1.0,X,X
14:00,X,X,X,-12.0,-3.0,0.0,1.0,0.0,X,X,-10.0,-3.0,0.0,2.0,0.0,X,X,-10.0,-1.0,0.0,6.0,0.0,X,X,-11.0,-4.0,-1.0,2.0,-1.0,X,X
14:30,X,X,X,-6.0,6.0,3.0,9.0,6.0,X,X,-4.0,5.0,4.0,10.0,6.0,X,X,-3.0,5.0,4.0,12.0,7.0,X,X,-5.0,4.0,4.0,10.0,6.0,X,X
15:00,X,X,X,4.0,4.0,7.0,3.0,8.0,X,X,6.0,3.0,8.0,4.0,8.0,X,X,7.0,3.0,8.0,6.0,9.0,X,X,5.0,2.0,8.0,4.0,8.0,X,X
15:30,X,X,X,0.0,5.0,6.0,9.0,6.0,X,X,2.0,4.0,7.0,10.0,6.0,X,X,3.0,4.0,7.0,12.0,7.0,X,X,1.0,3.0,7.0,10.0,6.0,X,X
16:00,X,X,X,-2.0,4.0,6.0,11.0,8.0,X,X,0.0,3.0,7.0,12.0,8.0,X,X,1.0,3.0,7.0,14.0,9.0,X,X,-1.0,2.0,7.0,12.0,8.0,X,X
16:30,X,X,X,-9.0,-9.0,-1.0,-5.0,-1.0,X,X,-7.0,-9.0,0.0,-4.0,-1.0,X,X,-6.0,-10.0,-1.0,-2.0,0.0,X,X,-8.0,-11.0,-1.0,-4.0,-1.0,X,X
17:00,X,X,X,-5.0,-2.0,0.0,2.0,5.0,X,X,-3.0,-2.0,1.0,3.0,5.0,X,X,-2.0,-3.0,0.0,5.0,6.0,X,X,-4.0,-4.0,0.0,3.0,5.0,X,X
17:30,X,X,X,0.0,1.0,1.0,2.0,1.0,X,X,0.0,1.0,1.0,2.0,1.0,X,X,1.0,2.0,2.0,4.0,1.0,X,X,0.0,0.0,2.0,5.0,2.0,X,X
18:00,X,X,X,7.0,3.0,3.0,4.0,5.0,X,X,7.0,3.0,3.0,4.0,5.0,X,X,8.0,4.0,4.0,6.0,5.0,X,X,7.0,2.0,4.0,7.0,6.0,X,X
