name,2019-04-01 (一),2019-04-02 (二),2019-04-03 (三),2019-04-04 (四),2019-04-05 (五),2019-04-06 (六),2019-04-07 (日),2019-04-08 (一),2019-04-09 (二),2019-04-10 (三),2019-04-11 (四),2019-04-12 (五),2019-04-13 (六),2019-04-14 (日),2019-04-15 (一),2019-04-16 (二),2019-04-17 (三),2019-04-18 (四),2019-04-19 (五),2019-04-20 (六),2019-04-21 (日),2019-04-22 (一),2019-04-23 (二),2019-04-24 (三),2019-04-25 (四),2019-04-26 (五),2019-04-27 (六),2019-04-28 (日),2019-04-29 (一),2019-04-30 (二)
09:00,-9.0,3.0,1.0,X,X,X,X,-9.0,3.0,2.0,4.0,3.0,X,X,-9.0,3.0,1.0,4.0,3.0,X,X,-8.0,3.0,2.0,4.0,3.0,X,X,-9.0,3.0
09:30,-2.0,4.0,6.0,X,X,X,X,-2.0,4.0,7.0,3.0,7.0,X,X,-2.0,4.0,6.0,3.0,7.0,X,X,-1.0,4.0,7.0,3.0,7.0,X,X,-2.0,4.0
10:00,-4.0,2.0,3.0,X,X,X,X,-4.0,2.0,4.0,4.0,0.0,X,X,-4.0,2.0,3.0,4.0,0.0,X,X,-3.0,2.0,4.0,4.0,0.0,X,X,-4.0,2.0
10:30,-2.0,0.0,2.0,X,X,X,X,-2.0,0.0,3.0,3.0,2.0,X,X,-2.0,0.0,2.0,3.0,2.0,X,X,-1.0,0.0,3.0,3.0,2.0,X,X,-2.0,0.0
11:00,-2.0,5.0,-1.0,X,X,X,X,-2.0,5.0,0.0,0.0,5.0,X,X,-2.0,5.0,-1.0,0.0,5.0,X,X,-1.0,5.0,0.0,0.0,5.0,X,X,-2.0,5.0
11:30,-14.0,-6.0,-5.0,X,X,X,X,-13.0,-5.0,-4.0,-2.0,-5.0,X,X,-14.0,-5.0,-5.0,-1.0,-7.0,X,X,-13.0,-5.0,-5.0,-1.0,-5.0,X,X,-13.0,-6.0
12:00,-10.0,-1.0,-2.0,X,X,X,X,-8.0,0.0,-1.0,1.0,1.0,X,X,-10.0,0.0,-3.0,1.0,0.0,X,X,-9.0,0.0,-3.0,0.0,1.0,X,X,-9.0,-1.0
12:30,-3.0,-1.0,0.0,X,X,X,X,-1.0,0.0,1.0,1.0,1.0,X,X,-2.0,0.0,0.0,0.0,0.0,X,X,0.0,0.0,1.0,0.0,0.0,X,X,-3.0,-1.0
13:00,-3.0,0.0,-2.0,X,X,X,X,-5.0,0.0,0.0,3.0,0.0,X,X,-2.0,1.0,-2.0,3.0,0.0,X,X,-2.0,1.0,0.0,4.0,0.0,X,X,-3.0,0.0
13:30,-5.0,0.0,0.0,X,X,X,X,-8.0,0.0,2.0,2.0,0.0,X,X,-6.0,0.0,0.0,3.0,0.0,X,X,-7.0,0.0,1.0,3.0,0.0,X,X,-6.0,0.0
14:00,-1.0,0.0,-1.0,X,X,X,X,-1.0,1.0,0.0,2.0,3.0,X,X,-2.0,0.0,0.0,3.0,1.0,X,X,-1.0,0.0,0.0,3.0,2.0,X,X,-2.0,0.0
14:30,-1.0,4.0,1.0,X,X,X,X,-1.0,5.0,3.0,8.0,6.0,X,X,-1.0,5.0,1.0,8.0,5.0,X,X,0.0,5.0,2.0,8.0,5.0,X,X,-1.0,4.0
15:00,2.0,7.0,5.0,X,X,X,X,2.0,8.0,7.0,9.0,8.0,X,X,2.0,8.0,5.0,9.0,7.0,X,X,3.0,8.0,6.0,9.0,7.0,X,X,2.0,7.0
15:30,6.0,3.0,5.0,X,X,X,X,6.0,4.0,7.0,8.0,6.0,X,X,6.0,4.0,5.0,8.0,5.0,X,X,7.0,4.0,6.0,8.0,5.0,X,X,6.0,3.0
16:00,4.0,8.0,7.0,X,X,X,X,4.0,9.0,9.0,12.0,7.0,X,X,4.0,9.0,7.0,12.0,6.0,X,X,5.0,9.0,8.0,12.0,6.0,X,X,4.0,8.0
16:30,-8.0,-4.0,0.0,X,X,X,X,-7.0,-3.0,1.0,0.0,4.0,X,X,-8.0,-3.0,0.0,0.0,3.0,X,X,-7.0,-3.0,0.0,0.0,3.0,X,X,-7.0,-4.0
17:00,-3.0,4.0,1.0,X,X,X,X,-2.0,5.0,2.0,4.0,2.0,X,X,-3.0,5.0,1.0,4.0,1.0,X,X,-2.0,5.0,1.0,4.0,1.0,X,X,-2.0,4.0
17:30,3.0,3.0,2.0,X,X,X,X,2.0,0.0,1.0,0.0,1.0,X,X,3.0,0.0,1.0,2.0,3.0,X,X,4.0,2.0,0.0,0.0,0.0,X,X,2.0,4.0
18:00,5.0,7.0,8.0,X,X,X,X,4.0,4.0,7.0,2.0,6.0,X,X,5.0,4.0,7.0,4.0,8.0,X,X,6.0,6.0,6.0,2.0,5.0,X,X,4.0,8.0
18:30,1.0,0.0,1.0,X,X,X,X,0.0,0.0,2.0,0.0,0.0,X,X,1.0,0.0,1.0,0.0,0.0,X,X,1.0,0.0,2.0,0.0,0.0,X,X,0.0,0.0
19:00,1.0,-1.0,0.0,X,X,X,X,0.0,-1.0,1.0,-1.0,0.0,X,X,1.0,-1.0,0.0,-1.0,0.0,X,X,1.0,-1.0,1.0,-1.0,0.0,X,X,0.0,-1.0
19:30,0.0,0.0,-2.0,X,X,X,X,-1.0,0.0,-1.0,0.0,2.0,X,X,0.0,0.0,-2.0,0.0,2.0,X,X,0.0,0.0,-1.0,0.0,2.0,X,X,-1.0,0.0
20:00,-1.0,0.0,-1.0,X,X,X,X,-2.0,0.0,0.0,0.0,1.0,X,X,-1.0,0.0,-1.0,0.0,1.0,X,X,-1.0,0.0,0.0,0.0,1.0,X,X,-2.0,0.0
20:30,0.0,2.0,0.0,X,X,X,X,-1.0,2.0,1.0,2.0,1.0,X,X,0.0,2.0,0.0,2.0,1.0,X,X,0.0,2.0,1.0,2.0,1.0,X,X,-1.0,2.0
